Designator,Layer,Mid X,Mid Y,Rotation
SW1_01_00,Top,5.003799999999999mm,112.9994mm,0
SW2_01_00,Top,5.003799999999999mm,107.005mm,0
SW3_01_00,Top,5.003799999999999mm,101.0106mm,0
SW4_01_00,Top,5.003799999999999mm,94.99080000000001mm,0
SW5_01_00,Top,5.003799999999999mm,88.9964mm,0
SW6_01_00,Top,10.998199999999999mm,112.9994mm,0
SW7_01_00,Top,10.998199999999999mm,107.005mm,0
SW8_01_00,Top,10.998199999999999mm,101.0106mm,0
SW9_01_00,Top,10.998199999999999mm,94.99080000000001mm,0
SW10_01_00,Top,10.998199999999999mm,88.9964mm,0
SW11_01_00,Top,16.9926mm,112.9994mm,0
SW12_01_00,Top,16.9926mm,107.005mm,0
SW13_01_00,Top,16.9926mm,101.0106mm,0
SW14_01_00,Top,16.9926mm,94.99080000000001mm,0
SW15_01_00,Top,16.9926mm,88.9964mm,0
SW16_01_00,Top,23.012399999999996mm,112.9994mm,0
SW17_01_00,Top,23.012399999999996mm,107.005mm,0
SW18_01_00,Top,23.012399999999996mm,101.0106mm,0
SW19_01_00,Top,23.012399999999996mm,94.99080000000001mm,0
SW20_01_00,Top,23.012399999999996mm,88.9964mm,0
SW21_01_00,Top,29.006800000000002mm,112.9994mm,0
SW22_01_00,Top,29.006800000000002mm,107.005mm,0
SW23_01_00,Top,29.006800000000002mm,101.0106mm,0
SW24_01_00,Top,29.006800000000002mm,94.99080000000001mm,0
SW25_01_00,Top,29.006800000000002mm,88.9964mm,0
D1_01_01,Top,94.60379999999999mm,115.9966mm,180
D2_01_01,Top,94.60379999999999mm,110.0022mm,180
D3_01_01,Top,94.60379999999999mm,104.0078mm,180
D4_01_01,Top,94.60379999999999mm,97.988mm,180
D5_01_01,Top,94.60379999999999mm,91.9936mm,180
D6_01_01,Top,100.59819999999999mm,115.9966mm,180
D7_01_01,Top,100.59819999999999mm,110.0022mm,180
D8_01_01,Top,100.59819999999999mm,104.0078mm,180
D9_01_01,Top,100.59819999999999mm,97.988mm,180
D10_01_01,Top,100.59819999999999mm,91.9936mm,180
D11_01_01,Top,106.59259999999999mm,115.9966mm,180
D12_01_01,Top,106.59259999999999mm,110.0022mm,180
D13_01_01,Top,106.59259999999999mm,104.0078mm,180
D14_01_01,Top,106.59259999999999mm,97.988mm,180
D15_01_01,Top,106.59259999999999mm,91.9936mm,180
D16_01_01,Top,112.6124mm,115.9966mm,180
D17_01_01,Top,112.6124mm,110.0022mm,180
D18_01_01,Top,112.6124mm,104.0078mm,180
D19_01_01,Top,112.6124mm,97.988mm,180
D20_01_01,Top,112.6124mm,91.9936mm,180
D21_01_01,Top,118.60679999999999mm,115.9966mm,180
D22_01_01,Top,118.60679999999999mm,110.0022mm,180
D23_01_01,Top,118.60679999999999mm,104.0078mm,180
D24_01_01,Top,118.60679999999999mm,97.988mm,180
D25_01_01,Top,118.60679999999999mm,91.9936mm,180
D26_01_01,Top,128.589mm,110.99279999999999mm,180
D27_01_01,Top,128.589mm,107.005mm,180
D28_01_01,Top,128.589mm,102.99179999999998mm,180
D29_01_01,Top,128.589mm,99.00399999999999mm,180
D30_01_01,Top,132.60219999999998mm,110.99279999999999mm,180
D31_01_01,Top,132.60219999999998mm,107.005mm,180
D32_01_01,Top,132.60219999999998mm,102.99179999999998mm,180
D33_01_01,Top,132.60219999999998mm,99.00399999999999mm,180
D34_01_01,Top,136.59mm,110.99279999999999mm,180
D35_01_01,Top,136.59mm,107.005mm,180
D36_01_01,Top,136.59mm,102.99179999999998mm,180
D37_01_01,Top,136.59mm,99.00399999999999mm,180
D38_01_01,Top,140.6032mm,110.99279999999999mm,180
D39_01_01,Top,140.6032mm,107.005mm,180
D40_01_01,Top,140.6032mm,102.99179999999998mm,180
D41_01_01,Top,140.6032mm,99.00399999999999mm,180
D42_01_01,Top,149.5948mm,107.005mm,180
D43_01_01,Top,149.5948mm,102.99179999999998mm,180
D44_01_01,Top,149.5948mm,99.00399999999999mm,180
D45_01_01,Top,153.608mm,107.005mm,180
D46_01_01,Top,153.608mm,102.99179999999998mm,180
D47_01_01,Top,153.608mm,99.00399999999999mm,180
D48_01_01,Top,157.5958mm,107.005mm,180
D49_01_01,Top,157.5958mm,102.99179999999998mm,180
D50_01_01,Top,157.5958mm,99.00399999999999mm,180
D51_01_01,Top,165.59679999999997mm,102.99179999999998mm,180
D52_01_01,Top,165.59679999999997mm,99.00399999999999mm,180
D53_01_01,Top,169.60999999999999mm,102.99179999999998mm,180
D54_01_01,Top,169.60999999999999mm,99.00399999999999mm,180
D55_01_01,Top,162.59959999999998mm,115.6918mm,270
D56_01_01,Top,159.6024mm,115.6918mm,270
D57_01_01,Top,165.59679999999997mm,115.6918mm,270
D61_01_01,Top,152.59199999999998mm,88.9964mm,270
D62_01_01,Top,154.59859999999998mm,88.9964mm,270
D63_01_01,Top,156.60519999999997mm,88.9964mm,270
D64_01_01,Top,158.6118mm,88.9964mm,270
D65_01_01,Top,160.593mm,88.9964mm,270
D66_01_01,Top,162.59959999999998mm,88.9964mm,270
D67_01_01,Top,164.6062mm,88.9964mm,270
D68_01_01,Top,166.5874mm,88.9964mm,270
D69_01_01,Top,168.594mm,88.9964mm,270
D71_01_01,Top,145.099mm,80.0048mm,90
D72_01_01,Top,148.09619999999998mm,80.0048mm,90
D73_01_01,Top,151.09339999999997mm,80.0048mm,90
D74_01_01,Top,154.0906mm,80.0048mm,90
D75_01_01,Top,157.0878mm,80.0048mm,90
D76_01_01,Top,160.1104mm,80.0048mm,90
D77_01_01,Top,163.1076mm,80.0048mm,90
D78_01_01,Top,166.1048mm,80.0048mm,90
D79_01_01,Top,169.10199999999998mm,80.0048mm,90
D81_01_01,Top,156.60519999999997mm,115.6918mm,270
D82_01_01,Top,142.10179999999997mm,80.0048mm,90
D83_01_01,Top,170.6006mm,88.9964mm,270
D84_01_01,Top,140.6032mm,88.9964mm,270
D85_01_01,Top,142.60979999999998mm,88.9964mm,270
D86_01_01,Top,144.591mm,88.9964mm,270
D87_01_01,Top,146.5976mm,88.9964mm,270
D88_01_01,Top,148.6042mm,88.9964mm,270
D89_01_01,Top,150.61079999999998mm,88.9964mm,270
FILTER_SW_01_01,Top,169.60999999999999mm,115.6918mm,0
PWR_SW_01_01,Top,170.8038mm,71.2926mm,180
SW1_01_01,Top,94.60379999999999mm,112.9994mm,0
SW2_01_01,Top,94.60379999999999mm,107.005mm,0
SW3_01_01,Top,94.60379999999999mm,101.0106mm,0
SW4_01_01,Top,94.60379999999999mm,94.99080000000001mm,0
SW5_01_01,Top,94.60379999999999mm,88.9964mm,0
SW6_01_01,Top,100.59819999999999mm,112.9994mm,0
SW7_01_01,Top,100.59819999999999mm,107.005mm,0
SW8_01_01,Top,100.59819999999999mm,101.0106mm,0
SW9_01_01,Top,100.59819999999999mm,94.99080000000001mm,0
SW10_01_01,Top,100.59819999999999mm,88.9964mm,0
SW11_01_01,Top,106.59259999999999mm,112.9994mm,0
SW12_01_01,Top,106.59259999999999mm,107.005mm,0
SW13_01_01,Top,106.59259999999999mm,101.0106mm,0
SW14_01_01,Top,106.59259999999999mm,94.99080000000001mm,0
SW15_01_01,Top,106.59259999999999mm,88.9964mm,0
SW16_01_01,Top,112.6124mm,112.9994mm,0
SW17_01_01,Top,112.6124mm,107.005mm,0
SW18_01_01,Top,112.6124mm,101.0106mm,0
SW19_01_01,Top,112.6124mm,94.99080000000001mm,0
SW20_01_01,Top,112.6124mm,88.9964mm,0
SW21_01_01,Top,118.60679999999999mm,112.9994mm,0
SW22_01_01,Top,118.60679999999999mm,107.005mm,0
SW23_01_01,Top,118.60679999999999mm,101.0106mm,0
SW24_01_01,Top,118.60679999999999mm,94.99080000000001mm,0
SW25_01_01,Top,118.60679999999999mm,88.9964mm,0
